ts,tracked50_views,n_videos
2026-08-25T04:23:04+00:00,3433168,46
2026-08-25T04:24:04+00:00,3433170,46
2026-08-25T04:25:04+00:00,3433175,46
2026-08-25T04:26:04+00:00,3433175,46
2026-08-25T04:27:04+00:00,3433174,46
2026-08-25T04:28:04+00:00,3433175,46
2026-08-25T04:29:05+00:00,3433180,46
2026-08-25T04:30:05+00:00,3433192,46
2026-08-25T04:31:05+00:00,3433192,46
2026-08-25T04:32:05+00:00,3433193,46
2026-08-25T04:33:05+00:00,3433194,46
2026-08-25T04:34:05+00:00,3433196,46
2026-08-25T04:35:05+00:00,3433199,46
2026-08-25T04:36:05+00:00,3433218,46
2026-08-25T04:37:06+00:00,3433200,46
2026-08-25T04:38:06+00:00,3433218,46
2026-08-25T04:39:06+00:00,3433223,46
2026-08-25T04:40:06+00:00,3433224,46
2026-08-25T04:41:06+00:00,3433225,46
2026-08-25T04:42:06+00:00,3433225,46
2026-08-25T04:43:06+00:00,3433225,46
2026-08-25T04:44:19+00:00,3433231,46
2026-08-25T04:45:20+00:00,3433239,46
2026-08-25T04:46:20+00:00,3433209,46
2026-08-25T04:47:20+00:00,3433209,46
2026-08-25T04:48:20+00:00,3433210,46
2026-08-25T04:49:20+00:00,3433212,46
2026-08-25T04:50:20+00:00,3433217,46
2026-08-25T04:51:20+00:00,3433217,46
2026-08-25T04:52:21+00:00,3433217,46
2026-08-25T04:53:21+00:00,3433229,46
2026-08-25T04:54:21+00:00,3433219,46
2026-08-25T04:55:21+00:00,3433226,46
2026-08-25T04:56:21+00:00,3433226,46
2026-08-25T04:57:21+00:00,3433239,46
2026-08-25T04:58:21+00:00,3433226,46
2026-08-25T04:59:21+00:00,3433226,46
2026-08-25T05:00:22+00:00,3433229,46
2026-08-25T05:01:22+00:00,3433242,46
2026-08-25T05:02:22+00:00,3433230,46
2026-08-25T05:03:22+00:00,3433242,46
2026-08-25T05:04:22+00:00,3433243,46
2026-08-25T05:05:22+00:00,3433248,46
2026-08-25T05:06:22+00:00,3433226,46
2026-08-25T05:07:22+00:00,3433226,46
2026-08-25T05:08:23+00:00,3433227,46
2026-08-25T05:09:23+00:00,3433230,46
2026-08-25T05:10:23+00:00,3433234,46
2026-08-25T05:11:23+00:00,3433232,46
2026-08-25T05:12:23+00:00,3433232,46
2026-08-25T05:13:24+00:00,3433234,46
2026-08-25T05:14:24+00:00,3433237,46
2026-08-25T05:15:24+00:00,3433246,46
2026-08-25T05:16:24+00:00,3433245,46
2026-08-25T05:17:24+00:00,3433246,46
2026-08-25T05:18:24+00:00,3433254,46
2026-08-25T05:19:24+00:00,3433253,46
2026-08-25T05:20:24+00:00,3433259,46
2026-08-25T05:21:25+00:00,3433261,46
2026-08-25T05:22:25+00:00,3433262,46
2026-08-25T05:23:25+00:00,3433265,46
2026-08-25T05:24:25+00:00,3433299,46
2026-08-25T05:25:25+00:00,3433311,46
2026-08-25T05:26:25+00:00,3433315,46
2026-08-25T05:27:25+00:00,3433313,46
2026-08-25T05:28:25+00:00,3433315,46
2026-08-25T05:29:26+00:00,3433321,46
2026-08-25T05:30:26+00:00,3433323,46
2026-08-25T05:31:26+00:00,3433320,46
2026-08-25T05:32:26+00:00,3433322,46
2026-08-25T05:33:26+00:00,3433325,46
2026-08-25T05:34:26+00:00,3433329,46
2026-08-25T05:35:26+00:00,3433312,46
2026-08-25T05:36:27+00:00,3433328,46
2026-08-25T05:37:27+00:00,3433329,46
2026-08-25T05:38:27+00:00,3433330,46
2026-08-25T05:39:27+00:00,3433346,46
2026-08-25T05:40:27+00:00,3433346,46
2026-08-25T05:41:27+00:00,3433346,46
2026-08-25T05:42:27+00:00,3433346,46
2026-08-25T05:43:27+00:00,3433351,46
2026-08-25T05:44:27+00:00,3433359,46
2026-08-25T05:45:27+00:00,3433360,46
2026-08-25T05:46:28+00:00,3433369,46
2026-08-25T05:47:28+00:00,3433370,46
2026-08-25T05:48:28+00:00,3433380,46
2026-08-25T05:49:28+00:00,3433380,46
2026-08-25T05:50:28+00:00,3433384,46
2026-08-25T05:51:28+00:00,3433384,46
2026-08-25T05:52:28+00:00,3433392,46
2026-08-25T05:53:28+00:00,3433386,46
2026-08-25T05:54:29+00:00,3433388,46
2026-08-25T05:55:29+00:00,3433391,46
2026-08-25T05:56:29+00:00,3433391,46
2026-08-25T05:57:29+00:00,3433392,46
2026-08-25T05:58:29+00:00,3433393,46
2026-08-25T05:59:29+00:00,3433396,46
2026-08-25T06:00:29+00:00,3433396,46
2026-08-25T06:01:29+00:00,3433396,46
2026-08-25T06:02:29+00:00,3433397,46
2026-08-25T06:03:30+00:00,3433397,46
2026-08-25T06:04:30+00:00,3433401,46
2026-08-25T06:05:30+00:00,3433401,46
2026-08-25T06:06:30+00:00,3433430,46
2026-08-25T06:07:30+00:00,3433441,46
2026-08-25T06:08:30+00:00,3433431,46
2026-08-25T06:09:30+00:00,3433431,46
2026-08-25T06:10:30+00:00,3433435,46
2026-08-25T06:11:31+00:00,3433445,46
2026-08-25T06:12:31+00:00,3433436,46
2026-08-25T06:13:31+00:00,3433452,46
2026-08-25T06:14:31+00:00,3433446,46
2026-08-25T06:15:31+00:00,3433446,46
2026-08-25T06:16:31+00:00,3433446,46
2026-08-25T06:17:31+00:00,3433447,46
2026-08-25T06:18:31+00:00,3433447,46
2026-08-25T06:19:32+00:00,3433453,46
2026-08-25T06:20:32+00:00,3433456,46
2026-08-25T06:21:32+00:00,3433451,46
2026-08-25T06:22:32+00:00,3433471,46
2026-08-25T06:23:32+00:00,3433454,46
2026-08-25T06:24:32+00:00,3433491,46
2026-08-25T06:25:32+00:00,3433460,46
2026-08-25T06:26:32+00:00,3433462,46
2026-08-25T06:27:33+00:00,3433465,46
2026-08-25T06:28:33+00:00,3433485,46
2026-08-25T06:29:33+00:00,3433492,46
2026-08-25T06:30:33+00:00,3433492,46
2026-08-25T06:31:33+00:00,3433492,46
2026-08-25T06:32:33+00:00,3433494,46
2026-08-25T06:33:33+00:00,3433494,46
2026-08-25T06:34:33+00:00,3433507,46
2026-08-25T06:35:33+00:00,3433513,46
2026-08-25T06:36:33+00:00,3433513,46
2026-08-25T06:37:34+00:00,3433523,46
2026-08-25T06:38:34+00:00,3433532,46
2026-08-25T06:39:34+00:00,3433536,46
2026-08-25T06:40:34+00:00,3433536,46
2026-08-25T06:41:34+00:00,3433536,46
2026-08-25T06:42:34+00:00,3433530,46
2026-08-25T06:43:34+00:00,3433543,46
2026-08-25T06:44:34+00:00,3433540,46
2026-08-25T06:45:34+00:00,3433540,46
2026-08-25T06:46:35+00:00,3433544,46
2026-08-25T06:47:35+00:00,3433544,46
2026-08-25T06:48:35+00:00,3433551,46
2026-08-25T06:49:35+00:00,3433554,46
2026-08-25T06:50:35+00:00,3433554,46
2026-08-25T06:51:35+00:00,3433555,46
2026-08-25T06:52:35+00:00,3433560,46
2026-08-25T06:53:35+00:00,3433562,46
2026-08-25T06:54:35+00:00,3433567,46
